# Observation File: water_balance-daily.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: watershed boundary discharge [mol d^-1]
# Region: surface boundary
# Functional: extensive integral
# Variable: surface-mass_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snowmelt [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow precipitation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: rain precipitation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: SWE [m]
# Region: surface domain
# Functional: average
# Variable: snow-water_equivalent
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface air temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-air_temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: max ponded depth [m]
# Region: surface domain
# Functional: maximum
# Variable: surface-ponded_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: total evapotranspiration [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-total_evapotranspiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow evaporation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: snow-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface evaporation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: transpiration [m d^-1]
# Region: surface domain
# Functional: average
# Variable: surface-transpiration
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy evaporation [m d^-1]
# Region: surface domain
# Functional: average
# Variable: canopy-evaporation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy drainage [m d^-1]
# Region: surface domain
# Functional: average
# Variable: canopy-drainage
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water to surface [m d^-1]
# Region: surface domain
# Functional: average
# Variable: canopy-throughfall_drainage_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow to surface [m SWE d^-1]
# Region: surface domain
# Functional: average
# Variable: canopy-throughfall_drainage_snow
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: canopy water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: canopy-water_content
# Number of Vectors: 1
# =============================================================================
"time [d]","watershed boundary discharge [mol d^-1]","snowmelt [m d^-1]","snow precipitation [m d^-1]","rain precipitation [m d^-1]","surface water content [mol]","subsurface water content [mol]","snow water content [mol]","SWE [m]","surface air temperature [K]","max ponded depth [m]","total evapotranspiration [m d^-1]","snow evaporation [m d^-1]","surface evaporation [m d^-1]","transpiration [m d^-1]","canopy evaporation [m d^-1]","canopy drainage [m d^-1]","water to surface [m d^-1]","snow to surface [m SWE d^-1]","canopy water content [mol]"
1.304800000000e+04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.298635161354e+10,1.285491758205e+13,0.000000000000e+00,0.000000000000e+00,2.855123414189e+02,4.917923292292e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.965749330720e+08
1.304900000000e+04,1.032237443071e+11,0.000000000000e+00,0.000000000000e+00,1.202337484300e-03,8.366345834561e+10,1.273119268911e+13,0.000000000000e+00,0.000000000000e+00,2.822990941026e+02,5.285648933721e+00,1.173738302537e-03,0.000000000000e+00,7.628637235031e-04,2.875979869874e-04,1.232765920462e-04,1.509624804616e-05,1.110101529646e-03,0.000000000000e+00,2.049953695125e+08
1.305000000000e+04,9.283685926242e+10,0.000000000000e+00,0.000000000000e+00,1.156887447462e-03,7.722978593912e+10,1.264497490929e+13,0.000000000000e+00,0.000000000000e+00,2.801981411138e+02,5.187279636004e+00,1.119741148992e-03,0.000000000000e+00,8.847004088651e-04,1.377534407446e-04,9.728729938212e-05,3.087836882151e-05,1.085296409153e-03,0.000000000000e+00,1.291582355738e+08
1.305100000000e+04,6.830924300272e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,7.328695744423e+10,1.257812054128e+13,0.000000000000e+00,0.000000000000e+00,2.809805449065e+02,5.126479990912e+00,8.746077620982e-04,0.000000000000e+00,4.762252856761e-04,3.671849900397e-04,3.119748638229e-05,1.340807822942e-07,1.340807822942e-07,0.000000000000e+00,3.671238512967e+07
1.305200000000e+04,5.447407402486e+10,0.000000000000e+00,0.000000000000e+00,2.347523870492e-03,7.103325697781e+10,1.253105453660e+13,0.000000000000e+00,0.000000000000e+00,2.794998835738e+02,5.086559743778e+00,5.207465092234e-04,0.000000000000e+00,3.435242254838e-04,1.447004745003e-04,3.252180923929e-05,8.924532909092e-05,2.235265332799e-03,0.000000000000e+00,2.719646062668e+08
1.305300000000e+04,4.510714308267e+10,0.000000000000e+00,0.000000000000e+00,2.249912055736e-03,6.861050007624e+10,1.249374778343e+13,0.000000000000e+00,0.000000000000e+00,2.801866295978e+02,5.054496040565e+00,4.589688946458e-04,0.000000000000e+00,3.414879093739e-04,3.348807072697e-05,8.399291454492e-05,1.393010804756e-04,2.197690729375e-03,0.000000000000e+00,1.782074841328e+08
1.305400000000e+04,3.753345520873e+10,0.000000000000e+00,0.000000000000e+00,1.113160325553e-07,6.682120280869e+10,1.245638950714e+13,0.000000000000e+00,0.000000000000e+00,2.799927768585e+02,5.029285810843e+00,5.873344854794e-04,0.000000000000e+00,2.990489974188e-04,2.483429410343e-04,3.994254702630e-05,1.974242902081e-07,2.967089509059e-07,0.000000000000e+00,5.981321406118e+07
1.305500000000e+04,3.212428772583e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.555038178654e+10,1.242366572428e+13,0.000000000000e+00,0.000000000000e+00,2.811454487259e+02,5.009821591181e+00,6.428950322113e-04,0.000000000000e+00,2.770068441783e-04,3.570386339136e-04,8.849554119266e-06,1.136141447821e-07,1.136141447821e-07,0.000000000000e+00,3.336801953020e+07
1.305600000000e+04,2.798454342447e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.444240442588e+10,1.239487943141e+13,0.000000000000e+00,0.000000000000e+00,2.820399223605e+02,4.993876235184e+00,6.505578597189e-04,0.000000000000e+00,2.208545017298e-04,4.265347946599e-04,3.168563329292e-06,9.932719946688e-08,9.932719946688e-08,0.000000000000e+00,2.372614564418e+07
1.305700000000e+04,2.460472726005e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.348085777952e+10,1.236928500240e+13,0.000000000000e+00,0.000000000000e+00,2.830704581308e+02,4.979923132995e+00,6.623524095064e-04,0.000000000000e+00,2.288808096004e-04,4.325833778558e-04,8.882220502201e-07,1.008320328178e-07,1.008320328178e-07,0.000000000000e+00,2.080796158203e+07
1.305800000000e+04,2.176466191211e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.263361598812e+10,1.234641402174e+13,0.000000000000e+00,0.000000000000e+00,2.823943074106e+02,4.968293799883e+00,6.623510681392e-04,0.000000000000e+00,3.094397194447e-04,3.528114748751e-04,9.987381941392e-08,1.041603999352e-07,1.041603999352e-07,0.000000000000e+00,2.020597499395e+07
1.305900000000e+04,1.946149486533e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.193071999183e+10,1.232572594341e+13,0.000000000000e+00,0.000000000000e+00,2.824239300827e+02,4.958042360397e+00,6.541087828088e-04,0.000000000000e+00,3.441881368860e-04,3.099026619015e-04,1.798402132083e-08,1.058727188114e-07,1.058727188114e-07,0.000000000000e+00,1.984041010366e+07
1.306000000000e+04,1.755621024377e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.132930073524e+10,1.230684877812e+13,0.000000000000e+00,0.000000000000e+00,2.822440779928e+02,4.949425731764e+00,6.517032434493e-04,0.000000000000e+00,3.160801637945e-04,3.356044921107e-04,1.858754407761e-08,1.080118060067e-07,1.080118060067e-07,0.000000000000e+00,1.946689962407e+07
1.306100000000e+04,1.596172794618e+10,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,6.082813854230e+10,1.228955292386e+13,0.000000000000e+00,0.000000000000e+00,2.824845471950e+02,4.942017057055e+00,6.221799944959e-04,0.000000000000e+00,2.956459967985e-04,3.265237547544e-04,1.024294295801e-08,1.103179611837e-07,1.103179611837e-07,0.000000000000e+00,1.911120097531e+07
